GeneName,GeneSymbolParalogs
AGAP004790,Neb-cGP
AGAP004791,Hmg-2
AGAP004816,PIG-F
AGAP004973,otu
AGAP005013,Galk
AGAP005023,His4r
AGAP005024,His3.3B
AGAP005025,His3.3B
AGAP005026,His4r
AGAP005603,CG18081
AGAP005912,Gbeta13F
AGAP007557,CG13905
AGAP012985,Rh6
AGAP013149,Rh6
AGAP001218,alphaTub84B
AGAP001219,alphaTub84B
AGAP001439,Hs6st
AGAP001666,Cpr92A
AGAP001667,Cpr92A
AGAP001668,Cpr92A
AGAP002346,RpS14a
AGAP002395,RpL10
AGAP002599,Ubi-p63E
AGAP003007,Surf6
AGAP003064,mora
AGAP003201,Tao
AGAP003216,Rpt2
AGAP003328,ND-B14
AGAP013400,fabp
AGAP013345,apn
AGAP003472,Osi16
AGAP003699,Alg13
AGAP003701,CG3224
AGAP003717,twf
AGAP003832,NoSymbolFound
AGAP003910,His3.3B
AGAP003913,His2A:CG31618
AGAP004122,NPFR
AGAP013223,CG11447
AGAP004189,D2hgdh
AGAP013350,CG11550
AGAP004219,Cby
AGAP013162,Klf15
AGAP004290,Mocs2A
AGAP004330,EMC6
AGAP010449,CG32196
AGAP028149,His1:CG31617
AGAP010604,Ilp2
AGAP010613,eEF1beta
AGAP010645,26-29-p
AGAP010724,His4r
AGAP010741,CG33453
AGAP010829,Strica
AGAP010965,Ntan1
AGAP011067,Six4
AGAP011145,Hlc
AGAP011151,sl
AGAP028157,Npc2a
AGAP012049,Rcd-1
AGAP012071,NoSymbolFound
AGAP012083,Trs31
AGAP012196,His3.3B
AGAP012197,His3.3B
AGAP012198,His2A:CG31618
AGAP012201,His2B:CG33868
AGAP012202,His2B:CG33868
AGAP012217,CG8112
AGAP012395,MsrA
AGAP008257,Nos
AGAP008331,Wdr59
AGAP028017,CG8134
AGAP009376,CG5973
AGAP009384,CG33680
AGAP009399,Hr39
AGAP009592,CG17633
AGAP009755,Ance
AGAP009872,Cpr49Ab
AGAP009924,CG18480
AGAP009948,Srp19
AGAP010018,Psf2
AGAP013723,CG17855
AGAP013762,AstCC
AGAP013748,Tom7
AGAP010237,CG6153
AGAP012475,CCT5
AGAP012476,babo
AGAP012477,CG5321
AGAP012478,Shrm
AGAP012525,Gbeta5
AGAP012547,Flo2
AGAP012550,Keap1
AGAP012554,CG14182
AGAP012558,His4r
AGAP012559,His3.3B
AGAP012560,His2B:CG33868
AGAP012561,cd
AGAP012567,Galk
AGAP012568,Galk
AGAP012572,His3.3B
AGAP012573,His3.3B
AGAP012574,His4r
AGAP012575,knk
AGAP012582,CG11050
AGAP012586,His4r
AGAP012589,NoSymbolFound
AGAP012593,CG8229
AGAP012603,brp
AGAP012604,CG9259
AGAP012608,Prosbeta7
AGAP012610,PR-Set7
AGAP012624,AnxB10
AGAP012628,Oatp33Eb
AGAP012632,NoSymbolFound
AGAP012633,brp
AGAP012641,CG2767
AGAP012642,CG13663
AGAP012644,CG13077
AGAP012646,Mesh1
AGAP012650,CG5550
AGAP012656,CAH3
AGAP012657,CG10877
AGAP012658,Obp58c
AGAP012660,TM9SF3
AGAP012661,CG8132
AGAP012664,CG32225
AGAP012665,Crz
AGAP012666,CG6055
AGAP012668,Nepl16
AGAP012678,Zw
AGAP012691,Mcm2
AGAP012695,CG12107
AGAP012698,TyrR
AGAP012703,to
AGAP012705,ND-B14.5A
AGAP012709,His3.3B
AGAP012710,His2B:CG33868
AGAP012711,His2A:CG31618
AGAP012714,Obp19a
AGAP012718,slgA
AGAP012721,Gorab
AGAP012726,CG7131
AGAP012731,wds
AGAP012740,CG11686
AGAP012744,stck
AGAP012748,Ent2
AGAP012754,Ubc2
AGAP012756,KdelR
AGAP012760,CG3857
AGAP012763,koko
AGAP012764,klar
AGAP012770,Roe1
AGAP012771,Tdc2
AGAP012772,Zip71B
AGAP012773,Rep
AGAP012775,fry
AGAP012780,PAN2
AGAP012784,AnxB10
AGAP012787,CG8298
AGAP012788,CG4858
AGAP012793,Atg6
AGAP012798,RpS11
AGAP012799,eIF2Balpha
AGAP012800,Cyp12a4
AGAP012801,CG8132
AGAP012802,CG6225
AGAP012803,Fie
AGAP012804,CG10214
AGAP012805,CG43373
AGAP012808,CG16959
AGAP012809,CG4908
AGAP012811,Pde6
AGAP012812,CG31460
AGAP012819,DppIII
AGAP012823,ND-B8
AGAP012825,Chrac-14
AGAP012826,CG6833
AGAP012831,Tudor-SN
AGAP012833,mRpS24
AGAP012837,mRpL43
AGAP012845,CG7966
AGAP012847,Atg12
AGAP012853,CG14414
AGAP012859,Lkb1
AGAP012860,CG31743
AGAP012863,CG7407
AGAP012868,Nup133
AGAP012870,CG13318
AGAP012871,His2B:CG33868
AGAP012873,cyc
AGAP012879,RpL18A
AGAP012880,mrn
AGAP012882,CG12398
AGAP012883,CG6567
AGAP012885,His4r
AGAP012892,CG5589
AGAP012894,His2B:CG33868
AGAP012895,His2A:CG31618
AGAP012896,gammaSnap1
AGAP012898,Ogg1
AGAP012900,26-29-p
AGAP012905,Cul3
AGAP012906,RpL6
AGAP012908,CG10778
AGAP012913,CG42672
AGAP012920,Desat1
AGAP012921,dsf
AGAP012924,Argk
AGAP012926,CG11686
AGAP012927,Nse4
AGAP012930,AnxB9
AGAP012933,CG31915
AGAP012936,CG17119
AGAP012938,Spn88Ea
AGAP012939,RpS5a
AGAP000516,e(r)
AGAP013491,drd
AGAP000647,CG13806
